worker_id,task_id,task_response_id,Tweet,Tweet Text,Hate speech?,Non Toxic Text That Contains Reclaimed Hate Speech / Is About Toxic Topic
RGDCWYTV6K79,f16c67ef-259c-4f09-9c98-f9c97a933779,4dbb7bf3-1e00-4d9b-a6ea-96b77e8764e4,https://twitter.com/femshlorp/status/1551125633123504129?s=21&t=hbDkBDd0LgO_cO7qEv2CRA,"Im a proud faggot, my existence makes some people angry and thats funny to me.",No,Yes
RGDCWYTV6K79,cba4d40a-df6b-46fa-8027-50d7cea01d12,3c94b361-cedd-4c32-95aa-22ae4e8999ba,https://twitter.com/cactusfru1ts/status/1566869390921981954?s=21&t=hbDkBDd0LgO_cO7qEv2CRA,"i mean. as a fag i would say fag is not necessarily a binary gender opposite but definitely a binary gender counterpart. like. self proclaimed dykes and self proclaimed fags are often approaching gay gender non-conformity from “opposite sides,” right?",No,Yes
RGDCWYTV6K79,55c810c8-35d6-4974-8747-7a06f0adfd07,622612d9-0929-4002-b44c-55558dd18c6b,https://twitter.com/christfamlee/status/1489397245929836547?s=21&t=hbDkBDd0LgO_cO7qEv2CRA,So if you are 60 then you definitely were NOT a slave. Why hate Jews? Why not just root for all mankind to not be harmed,No,Yes
4TR6J693M9XK,31e56a4c-30a4-41ab-8d57-ec2979430e5c,31736a7d-2954-48c6-a064-9fe563faead8,https://twitter.com/Crypto_Ray976/status/1566443859072192515,Can't wait until everyone sees how evil you jews are. Rothschild scum,Yes,No
7TQPVNV4CT2C,0e7b5152-7486-4e32-add3-bd3b4c37a3b8,cf0f615d-cd6c-4acc-9d3f-b3e92c57b5cd,https://twitter.com/Christianus47/status/1563263711657492480?s=20&t=fYy76PeUKXRXbMy7RWyJFg,Having to sell condoms to niggers is the worst humiliation I've ever experienced in life,Yes,No
7GPE469D37XA,deabe864-5dd8-487d-88ea-261f6e62ee6a,05e9d3ca-6b7a-4d8a-a81f-4c8a7ad8cbcb,https://twitter.com/chris778778/status/1565885305105911811?s=20&t=fYy76PeUKXRXbMy7RWyJFg,"R.I.P @QuarantinedCoof
they always go after the Good ones. Fuck Keffals and his troon sqaud",Yes,No
DMDJ3QQK6JN9,5bdb93e1-2e28-423e-b97d-116e45e992a9,873a7ac8-5c66-4d7c-8a71-dc8256327568,https://twitter.com/chaos_grandpa/status/1566060637100417029?s=21&t=DSqPCWQHlUXs3Tn7belHzQ,are you just a dirty gay faggot german that's fuckin stupid as shit,Yes,No
32MTNCTCCVR6,a1865904-3712-4b1e-8360-3bbfc284db1e,b188aac5-998f-4a10-8bbf-67c142901cc2,https://twitter.com/xuhater/status/1556788379236417537?s=21&t=DSqPCWQHlUXs3Tn7belHzQ,"""man... I called xu a stupid faggot chink who should go back to china where he belongs and he got mad at me?? 😕 Why is xu so sensitive...""",Yes,No
D69JPMAFP9GP,062f63ff-6ed6-4bf2-82fe-ee74197dd204,e2eac8dc-1c09-459f-b4db-26596f508213,https://twitter.com/trumplover762/status/1560085585112489984?s=21&t=DSqPCWQHlUXs3Tn7belHzQ,Dragon lee is a stupid chink duck him I hope breaks his legs,Yes,No
DMDJ3QQK6JN9,247d55f5-0477-43d8-96fd-71c4128b8678,f425e22c-f832-4c66-aeff-392e8bcd1238,https://twitter.com/NA_cryptid/status/1566917333314326529?s=20&t=fYy76PeUKXRXbMy7RWyJFg,cry more trooner!,Yes,No
